"Name","OperatingSystem","Description"
"DCOPC014","Windows 11 Pro",
"DGNMA002","Windows 11 Pro",
"DMANPC004","Windows 11 Pro",
"DTIVM002","Windows 7 Enterprise",
"DTIPC004","Windows 7 Professional",
"DVM001","Windows 7 Professional",
"DSTPC002","Windows 7 Professional",
"DEXPC001","Windows 7 Professional",
"DFNPC013","Windows 7 Professional",
"DCOPC100","Windows 7 Professional",
"DALPC006","Windows 7 Professional",
"DTIPC025","Windows 7 Professional",
